cluster_ID,genes
1,CD74;CEBPD;HLA-A;HLA-B;IFITM3;MARCKS;PNRC1;PTMA
2,CD69;ELF1;RPL22;TXNIP
3,IFI27;IFITM2;Macrophages Metallothionein;MT1X
4,ATF3;CCL4;CD163;HLA-E;JUNB;LGMN;Macrophages;Macrophages CCL3+ CCL4+;MAFB;MCL1;NAMPT;PLIN2;RGS1;TNFAIP3;VMP1
5,DC2 CD1D-;DC2 CD1D+;FKBP5;IFNGR1;PLSCR1;SAMHD1;SERPINB9
6,ADAR;ALDH1A1;BLVRA;CLEC4E;CSRNP1;FCGR1A;GBP2;GCA;GK;HES4;ILCs;LGALS3;Monocytes S100A8+ S100A9+;MYD88;NFIL3;SERPING1;SPTLC2;TFEC;THBD
7,ACSL1;CHMP5;CXCL10;DDX3X;LIPA;Macrophages LYVE1+;MSR1;VAMP5
8,B cells;C10orf10;CCL2;CD9;IL6ST;MT1M
9,ADAMDEC1;ARHGEF3;B4GALT5;C1S;C4orf32;C9orf91;CDK17;CYTH1;DC1;DCP1A;ETV6;GALNT2;GBP5;GCH1;HLA-F;IFI35;LMO2;NAPA;OAS2;PI4K2B;PPM1K;PXK;RBCK1;RNF213;SIRPA;SLC16A1;SNN;TLK2;TRIM14;TRIM38
10,ADM;B2M;BST2;CCL8;CCR1;DTX3L;GAK;GEM;IFI44;IFI44L;JAK2;Macrophages PLA2G2D+;MAP3K5;MAX;MYOF;NCF1;Neutrophils S100A8+ S100A9+;OPTN;PML;SCARB2;SCO2;SECTM1;TCF7L2;TNFSF10;XAF1
11,ABLIM3;ABTB2;AHNAK2;AIM2;AKT3;AMPH;ANGPTL1;ANKRD22;APOBEC3A;APOL1;APOL2;AQP9;ARG2;ARNTL;B cells AICDA+ LRMP+;BATF2;BCL2L14;BTN3A3;BUB1;C22orf28;C5orf27;CCDC92;CCNA1;CD274;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;DDX60;EHD4;ENPP1;ERLIN1;ETV7;EXT1;FFAR2;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GBA;GJA4;GPX2;GZMB;HEG1;HELZ2;HERC6;HESX1;HLA-G;HSH2D;IFIT1;IFIT2;IFIT3;IFNLR1;IGFBP2;IL15RA;IL17RB;IL1RN;IMPA2;IRF7;LEPR;LRG1;LY6E;MAB21L2;MAP3K14;Mast cells;MASTL;MB21D1;MCOLN2;MICB;MKX;Monocytes CHI3L1+ CYP27A1+;MVB12B;NCOA3;NDC80;NEURL3;NK cells KLRF1+ CD3G-;NOD2;NPAS2;NRN1;NT5C3;OAS3;OASL;P2RY6;PADI2;PARP12;PDGFRL;PHF15;PMM2;PNPT1;PUS1;RNASE4;RNF114;RTP4;S100A8;SAA1;SAMD4A;SERPINE1;SLC15A3;SLC1A1;SLC25A28;SLC25A30;SMAD3;SPSB1;ST3GAL4;STAP1;STARD5;STEAP4;T cells CD4+ IL17A+;T cells CD8+;TAP2;TBX3;TDRD7;TLR3;TMEM140;TMEM255A;TMEM51;TNFAIP6;TNFRSF10A;TRAFD1;TRIM21;TRIM34;ULK4;UPP2;USP18;VEGFC;WHAMM;ZBP1;ZNF385B
12,ANKFY1;ATP10D;BAG1;BCL3;CASP7;CRY1;DDX58;FAM46A;GBP3;IFIT5;IL1R1;IRF9;KIAA0040;LPCAT1;MT1H;MTHFD2L;MX1;PARP9;PHF11;PRKD2;SOCS2;SP110;T cells CD8+ KLRG1+;TREX1;UNC93B1
13,ANXA2R;CLEC2B;FAM134B;RARRES3;SLFN5;SOCS1;T cells CD4+ FOSB+;T cells Naive CD4+;T cells OGT+;TAGAP;Tregs
14,ALYREF;CPT1A;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);Immune Cycling cells;IRF2;MT1F;NMI;ODC1;OGFR;RBM25;SUN2;TAP1;TRIM25;TRIM5
15,CCDC109B;CCL5;CCND3;EIF3L;IFI16;MT1G;PSMB9
16,CCL19;CDKN1A;DUSP5;EPSTI1;IDO1;LAMP3;Mature DCs;PMAIP1
17,C4orf33;CD80;CXCL9;HLA-C;IL15;Macrophages CXCL9+ CXCL10+;MAFF;PIM3;PSMB8;RASSF4;RNF19B;UBE2L6
18,C15orf48;GBP1;GBP4;IFI30;LAP3;PFKFB3;SPATS2L;STAT1;TNFSF13B;TYMP;WARS
19,CD38;COMMD3;DDIT4;FNDC3B;GLRX;PDK1;TIMP1
20,IFI6;ISG15;ISG20;Plasma cells
