cluster_ID,genes
1,RPL22;TXNIP;CD69;ELF1
2,DDX3X;ACSL1;VAMP5;LIPA;CLEC2B;HES4;SERPING1;CXCL10;NFIL3;FCGR1A;CLEC4E;GBP2;GK;ILCs;CSRNP1;SPTLC2;SCARB2;CHMP5;MSR1;CCL8;BLVRA;TFEC;CCR1;ADAR;ALDH1A1;MYD88
3,TIMP1;SERPINB9;IFNGR1;PLSCR1;SAMHD1;THBD;GCA;DC2 CD1D-;DC2 CD1D+;Monocytes S100A8+ S100A9+
4,DDIT4;FNDC3B;GLRX;SLFN5;SP110;TAGAP;FAM134B;SOCS1;ANXA2R;CRY1;SUN2;OGFR;TRIM5;CPT1A;B2M;IFI44L;SOCS2;LGALS3;LPCAT1;FAM46A;PHF11;SECTM1;MYOF;SCO2;MTHFD2L;S100A8;BAG1;WHAMM;PARP12;LY6E;MT1H;ATP10D;UNC93B1;PARP9;KIAA0040;IFIT5;ANKFY1;IL1R1;BCL3;CASP7;GBP3;DDX58;PRKD2;IRF9;TREX1;T cells CD8+ KLRG1+;T cells CD8+;STARD5;BTN3A3;APOL1;ZBP1;IRF7;SAMD4A;TMEM140;SMAD3;MB21D1;APOL2;B cells AICDA+ LRMP+;EHD4;ZNF385B;VEGFC;USP18;UPP2;ULK4;TRIM34;TRIM21;TRAFD1;TNFRSF10A;TNFAIP6;TMEM51;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;ST3GAL4;SPSB1;SLC25A30;SLC25A28;SLC1A1;SLC15A3;SERPINE1;SAA1;RTP4;RNASE4;PUS1;PNPT1;PMM2;PHF15;PDGFRL;PADI2;P2RY6;OASL;OAS3;NT5C3;NRN1;NPAS2;NOD2;NEURL3;NDC80;MVB12B;MKX;MICB;MCOLN2;MASTL;MAP3K14;MAB21L2;LRG1;LEPR;IMPA2;IL1RN;IL17RB;IL15RA;IGFBP2;IFNLR1;IFIT3;IFIT2;IFIT1;HLA-G;HESX1;HERC6;HELZ2;HEG1;GZMB;GPX2;GJA4;GBA;G6PC;FZD5;FUT4;FTSJD2;FNDC4;FFAR2;EXT1;ETV7;ERLIN1;ENPP1;DDX60;CYP1B1;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CD274;CCNA1;CCDC92;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;ARNTL;ARG2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AKT3;AIM2;AHNAK2;ABTB2;ABLIM3;NK cells KLRF1+ CD3G-;Mast cells;Monocytes CHI3L1+ CYP27A1+;MAX;IFI44;DTX3L;MAP3K5;BST2;NCF1;ADM;GAK;Macrophages PLA2G2D+;XAF1;TCF7L2;JAK2;Neutrophils S100A8+ S100A9+;TNFSF10;PML;GEM;MX1;OPTN;T cells CD4+ IL17A+;RNF114;GALNT2;IFI35;NCOA3;STAP1;HSH2D
5,T cells CD4+ FOSB+;T cells Naive CD4+;HLA-C;CD9;CYTH1;T cells OGT+;Tregs;RNF213;DC1;HLA-F;TRIM38;B4GALT5;NAPA;ETV6;TRIM14;PXK;CDK17;ARHGEF3;DCP1A;C1S;PPM1K;SLC16A1;PI4K2B;C4orf32;GCH1;RBCK1;GBP5;OAS2;TLK2;RASSF4;MAFF;Macrophages CXCL9+ CXCL10+;PSMB8;SNN;LMO2;SIRPA;C9orf91;ADAMDEC1;CD80;RNF19B;UBE2L6;C4orf33;IL15
6,IFI27;Macrophages Metallothionein;IL6ST;MT1M;CCL2;B cells;C10orf10;EIF3L;MT1G;IFI16;CCDC109B;CCL5;Immune Cycling cells;ALYREF;ODC1;MT1F;RBM25;PSMB9;CCND3;IRF2;TAP1;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);NMI;TRIM25;RARRES3
7,STAT1;TYMP;IDO1;C15orf48;IFI30;PFKFB3;TNFSF13B;GBP1;SPATS2L;LAP3;WARS;GBP4;PIM3;PMAIP1;CDKN1A;LAMP3;CCL19;EPSTI1;CXCL9;Mature DCs
8,TNFAIP3;IFITM2;VMP1;FKBP5;MCL1;NAMPT;CCL4;JUNB;ATF3;HLA-E;Macrophages;MAFB;CD163;PLIN2;LGMN;Macrophages CCL3+ CCL4+;Macrophages LYVE1+
9,RGS1;DUSP5;Plasma cells;ISG20;ISG15;IFI6;PDK1;CD38;COMMD3
10,PTMA;HLA-A;MT1X;CD74;HLA-B;IFITM3;CEBPD;MARCKS;PNRC1
