cluster_ID,genes
1,Plasma cells;DUSP5
2,TIMP1;HLA-C;CDKN1A;ISG20;ODC1;CD38;COMMD3;MT1F;GLRX;PDK1;FNDC3B;DDIT4;GALNT2;CD9
3,IFI6;PMAIP1;RNF213;T cells OGT+;GBP2;ISG15;PSMB9;ADAR;LY6E;RBM25;PHF11;SUN2;Immune Cycling cells;TAP1;PSMB8;OPTN;IRF9;Tregs;IL1R1;B4GALT5;HLA-F;SP110;DCP1A;T cells Naive CD4+;GCH1;CCND3;B2M;CCDC109B;ARHGEF3;SLFN5;SOCS1;IFI44;ANXA2R;GBP5;T cells CD4+ IL17A+;CRY1;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells CD8+;T cells CD8+ KLRG1+;GZMB
4,CHMP5;C4orf32;TNFSF10;SOCS2;MAP3K5;HEG1;STAP1;TAGAP;ZBP1;B cells;MT1M;MT1H;PPM1K;IRF2;WHAMM;JAK2;PARP12;CD274;NCOA3;C10orf10;STARD5;BTN3A3;PI4K2B;OASL;TREX1;ALYREF;RBCK1;XAF1;UNC93B1;MX1;RNF114;SECTM1;TMEM51;TCF7L2;ARNTL;NK cells KLRF1+ CD3G-;GEM;FAM134B;TLK2;IFI35;IFIT5;MASTL;MVB12B;SLC25A30;C4orf33;APOL1;PML;HELZ2;TRIM38;BAG1;NMI;MYOF;IL1RN;Neutrophils S100A8+ S100A9+;S100A8;GAK;NAPA;C9orf91;CASP7;PARP9;DDX58;DTX3L;C1S;GBP3;MB21D1;OAS3;GPX2;IMPA2;GBA;IFIT3;Macrophages PLA2G2D+;OGFR;ERLIN1;SLC25A28;EHD4;OAS2;ANKFY1;IRF7;ATP10D;CDK17;SMAD3;DDX60;AKT3;HSH2D;SLC16A1;ARG2;APOL2;KIAA0040;TMEM140;PRKD2;PMM2;HERC6;TRIM25;IGFBP2;MICB;B cells AICDA+ LRMP+;TRIM5;ZNF385B;VEGFC;USP18;UPP2;ULK4;TRIM34;TRIM21;TRAFD1;TNFRSF10A;TNFAIP6;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;ST3GAL4;SPSB1;SLC1A1;SERPINE1;SAMD4A;SAA1;RTP4;RNASE4;PUS1;PNPT1;PHF15;PDGFRL;PADI2;P2RY6;NT5C3;NRN1;NPAS2;NOD2;NEURL3;NDC80;MKX;MCOLN2;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IL15RA;IFNLR1;IFIT2;IFIT1;HLA-G;HESX1;GJA4;G6PC;FZD5;FUT4;FTSJD2;FNDC4;FFAR2;EXT1;ETV7;ENPP1;CYP1B1;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;MTHFD2L;PXK;AIM2;CPT1A;CCDC92;Mast cells;DC1;MYD88
5,IFNGR1;SPATS2L;SAMHD1;LIPA;BST2;HES4;GCA;DC2 CD1D-;DC2 CD1D+;ILCs;VAMP5;ACSL1;CLEC4E;CXCL10;THBD;NFIL3;MSR1;SCARB2;SERPING1;CSRNP1;CCR1;ADM;LMO2;FCGR1A;SIRPA;TFEC;IFI44L;BCL3;SPTLC2;FAM46A;TRIM14;MAX;LPCAT1;NCF1;VMP1;CCL2;MAFF;ALDH1A1;Macrophages LYVE1+;IL6ST;CCL8
6,TNFSF13B;LGALS3;EPSTI1;GBP1;LAP3;SERPINB9;C15orf48;TYMP;IFI30;EIF3L;PIM3;CYTH1;BLVRA;RASSF4;ADAMDEC1;GBP4;UBE2L6;GK;RNF19B;Macrophages CXCL9+ CXCL10+;SNN;SCO2;Monocytes S100A8+ S100A9+;WARS;CXCL9;SLC15A3;CD80;ETV6;IL15;IDO1;Mature DCs;LAMP3;CCL19
7,MT1X;MT1G;Macrophages Metallothionein;IFI27
8,RGS1;MCL1;JUNB;ATF3
9,CD74;IFITM3;CEBPD;MARCKS;HLA-E;STAT1;PLIN2;PFKFB3;NAMPT;PLSCR1;CCL4;Macrophages;MAFB;CD163;Macrophages CCL3+ CCL4+;LGMN
10,HLA-A;HLA-B;PNRC1;FKBP5;RPL22;IFITM2;CCL5;T cells CD4+ FOSB+;IFI16;RARRES3;CLEC2B;DDX3X
11,TNFAIP3;PTMA;TXNIP;ELF1;CD69
