cluster_ID,genes
1,C1S;GEM;SERPING1;ISG20;CEBPD;FAM46A;ADM;CCL2;RARRES3;IL1R1;LY6E;Inflammatory fibroblasts IL11+ CHI3L1+;TNFAIP6;NFIL3;GALNT2
2,GBP1;HELZ2;TRIM38;MAP3K5;MAB21L2;Myofibroblasts GREM1+ GREM2+;GBA;Myofibroblasts HHIP+ NPNT+;PPM1K;IFIT5;TRIM5;ANKFY1;GLRX;CCL19;UNC93B1;C9orf91;NPAS2;TMEM51;SCO2;CCR1;SLC1A1;STARD5;HERC6;HLA-B;Pericytes RERGL+ NTRK2+;HSH2D
3,SPATS2L;SOCS1;HES4;VMP1;MT1X;CCL8;TIMP1;ISG15;PHF11;EXT1;NAPA;BATF2;OAS3;IFIT3;IFITM2;IFIT1;STEAP4;Pericytes HIGD1B+ STEAP4+
4,TYMP;ST3GAL4;IFI6;IGFBP2;GK;AHNAK2;EPSTI1;ATF3;CFB;PMAIP1;TNFAIP3;ACSL1;FAM134B;BLVRA;Fibroblasts SFRP2+ SLPI+;RNF114;PLIN2;MAFF;MT1M;IL15RA;CASP7;IFI35
5,STAT1;MAFB;CXCL9;JUNB;LGALS3;PFKFB3;MT1F;PDGFRL
6,Fibroblasts SMOC2+ PTGIS+;HLA-A;CCDC92;ATP10D;RTP4;FUT4;SLC25A30;ANGPTL1;IRF9;AQP9;ERLIN1;FZD5;PUS1;SLC16A1;TRIM14;PMM2;ETV7;ENPP1;MTHFD2L;ULK4;MX1;RNASE4;USP18;PNPT1;SAA1;ZBP1;ZNF385B;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STAP1;PHF15;PADI2;OASL;NT5C3;NOD2;NEURL3;MSR1;MKX;MICB;MCOLN2;MAP3K14;IL17RB;IFNLR1;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;APOBEC3A;ABTB2;ANKRD22
7,IL6ST;SMAD3;TBX3;Fibroblasts ADAMDEC1+;Fibroblasts NPY+ SLITRK6+;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;FNDC3B;CHMP5;CES1;AMPH;JAK2;NAMPT;IMPA2;PXK;UBE2L6;SCARB2;FNDC4
8,CDK17;CD69;CYP1B1;MVB12B;CXCL11;AIM2;GPX2;CD274;TAGAP;CSRNP1;TLK2;Stromal Cycling cells;HLA-G;CCL5;SECTM1;IFI30;MASTL;Glial cells;ARNTL;B2M;PTMA;C4orf33
9,CD9;IDO1;RGS1;GCH1;NCF1;PI4K2B;ARG2;APOL2;IFITM3;OGFR;MYD88;SIRPA;PNRC1;PDK1;TRIM21;TNFSF13B;HLA-C;CXCL10;CCL4;IL1RN;CD38;MT1G;CD163;MT1H
10,WARS;B4GALT5;MCL1;SPSB1;COMMD3;TRAFD1
11,GJA4;BAG1;FKBP5;MAX;GAK;PARP12;GCA;SAMHD1;DTX3L;LPCAT1;C15orf48;RBCK1;RASSF4;WHAMM;NDC80;RPL22;S100A8;ALYREF
12,MARCKS;BST2;IFI16;C10orf10;TXNIP;IFI27;C4orf32;RNF213;ODC1;PSMB8;ABLIM3;KIAA0040
13,GBP4;HLA-E;CD74;LMO2;TNFSF10;LEPR;ELF1;SPTLC2;CLEC2B;ALDH1A1;VAMP5;PIM3;ARHGEF3;THBD;Endothelial cells DARC+;LIPA;Endothelial cells CD36+;SUN2;LGMN;DDIT4;OAS2;CCDC109B;EIF3L;SERPINB9;PLSCR1;NRN1;ANXA2R;DUSP5;PSMB9;RBM25;CPT1A;TMEM140;Endothelial cells LTC4S+ SEMA3G+;LAMP3;XAF1;IFI44L;SP110
14,SERPINE1;SOCS2;ADAR;TREX1;P2RY6;HEG1;EHD4;SLFN5;PRKD2;CYTH1;DDX60;GBP2;LAP3;TAP1;MYOF;CDKN1A;CCND3;OPTN;PML;CX3CL1;BCL3;APOL1
15,MB21D1;IFI44;TNFRSF10A;LRG1;SNN;IRF7;IL15;DDX3X;IFNGR1;BTN3A3;ETV6;RNF19B;VEGFC;DDX58;GBP3;NMI;NCOA3;TCF7L2;IRF2;DCP1A;TRIM25;IFIT2;TLR3;HLA-F;Fibroblasts KCNN3+ LY6H+;SAMD4A;AKT3;CRY1;SLC25A28;SLC15A3;PARP9;GBP5;TDRD7
